Item,City,Price,Month,Year,Category
Powdered Milk NIDO 390 gm Polybag,Faisalabad,680.0,4,2023,Food & Beverages
Eggs Hen (Farm),Faisalabad,262.46,4,2023,Food & Beverages
Mustard Oil (Average Quality),Faisalabad,640.0,4,2023,Food & Beverages
Cooking Oil DALDA or Other Similar B,Faisalabad,3290.0,4,2023,Food & Beverages
Vegetable Ghee DALDA/HABIB 2.5 kg,Faisalabad,1550.0,4,2023,Food & Beverages
Vegetable Ghee DALDA/HABIB or Oth,Faisalabad,605.0,4,2023,Food & Beverages
Bananas (Kela) Local,Faisalabad,250.33,4,2023,Food & Beverages
Pulse Masoor (Washed),Faisalabad,301.39,4,2023,Food & Beverages
Pulse Moong (Washed),Faisalabad,245.75,4,2023,Food & Beverages
Pulse Mash (Washed),Faisalabad,446.47,4,2023,Food & Beverages
Pulse Gram,Faisalabad,225.74,4,2023,Food & Beverages
Potatoes,Faisalabad,65.53,4,2023,Food & Beverages
Onions,Faisalabad,71.74,4,2023,Food & Beverages
Tomatoes,Faisalabad,58.01,4,2023,Food & Beverages
Sugar Refined,Faisalabad,121.59,4,2023,Food & Beverages
Gur (Average Quality),Faisalabad,150.0,4,2023,Food & Beverages
Salt Powdered (NATIONAL/SHAN) 80,Faisalabad,60.0,4,2023,Food & Beverages
Chilies Powder NATIONAL 200 gm Pa,Faisalabad,215.0,4,2023,Food & Beverages
Garlic (Lehsun),Faisalabad,347.1,4,2023,Food & Beverages
Tea Lipton Yellow Label 190 gm Pack,Faisalabad,558.82,4,2023,Food & Beverages
Cooked Beef at Average Hotel,Faisalabad,300.0,4,2023,Food & Beverages
Cooked Daal at Average Hotel,Faisalabad,140.0,4,2023,Food & Beverages
Tea Prepared Ordinary,Faisalabad,50.0,4,2023,Food & Beverages
Cigarettes Capstan 20'S Packet,Faisalabad,220.0,4,2023,Miscellaneous
"Long Cloth 57"" Gul Ahmed/Al Karam",Faisalabad,466.08,4,2023,Apparel & Footwear
Shirting (Average Quality),Faisalabad,462.01,4,2023,Apparel & Footwear
Lawn Printed Gul Ahmed/Al Karam,Faisalabad,553.24,4,2023,Apparel & Footwear
Georgette (Average Quality),Faisalabad,194.94,4,2023,Apparel & Footwear
Gents Sandal Bata,Faisalabad,1499.0,4,2023,Apparel & Footwear
Gents Sponge Chappal Bata,Faisalabad,379.0,4,2023,Apparel & Footwear
Ladies Sandal Bata,Faisalabad,699.0,4,2023,Apparel & Footwear
Electricity Charges upto 50 Units,Faisalabad,6.23,4,2023,Housing Water & Energy
Gas Charges upto 3.3719 MMBTU,Faisalabad,295.0,4,2023,Housing Water & Energy
Firewood Whole,Faisalabad,1400.0,4,2023,Housing Water & Energy
Energy Saver Philips 14 Watt,Faisalabad,350.0,4,2023,Household Equipment
Sufi Washing Soap 250 gm Cake,Faisalabad,130.0,4,2023,Personal Care
Match Box,Faisalabad,6.0,4,2023,Household Equipment
Petrol Super,Faisalabad,277.75,4,2023,Transport & Communication
Hi-Speed Diesel,Faisalabad,293.7,4,2023,Transport & Communication
LPG 11.67 kg Cylinder,Faisalabad,3327.25,4,2023,Housing Water & Energy
Telephone Call Charges,Faisalabad,1.79,4,2023,Transport & Communication
Toilet Soap LIFEBUOY 115 gm,Faisalabad,85.0,4,2023,Personal Care
Wheat Flour Bag,Sargodha,2774.99,4,2023,Food & Beverages
Rice Basmati Broken (Average Qualit,Sargodha,176.6,4,2023,Food & Beverages
Rice IRRI-6/9 (Sindh/Punjab),Sargodha,206.49,4,2023,Food & Beverages
Bread plain (Small Size),Sargodha,100.0,4,2023,Food & Beverages
Beef with Bone (Average Quality),Sargodha,750.0,4,2023,Food & Beverages
Mutton (Average Quality),Sargodha,1400.0,4,2023,Food & Beverages
Chicken Farm Broiler (Live),Sargodha,350.6,4,2023,Food & Beverages
Milk fresh (Un-boiled),Sargodha,126.58,4,2023,Food & Beverages
Curd (Dahi) Loose,Sargodha,160.0,4,2023,Food & Beverages
Powdered Milk NIDO 390 gm Polybag,Sargodha,660.0,4,2023,Food & Beverages
Eggs Hen (Farm),Sargodha,267.45,4,2023,Food & Beverages
Mustard Oil (Average Quality),Sargodha,583.29,4,2023,Food & Beverages
Cooking Oil DALDA or Other Similar B,Sargodha,3510.0,4,2023,Food & Beverages
Vegetable Ghee DALDA/HABIB 2.5 kg,Sargodha,1635.0,4,2023,Food & Beverages
Vegetable Ghee DALDA/HABIB or Oth,Sargodha,605.0,4,2023,Food & Beverages
Bananas (Kela) Local,Sargodha,239.75,4,2023,Food & Beverages
Pulse Masoor (Washed),Sargodha,313.3,4,2023,Food & Beverages
Pulse Moong (Washed),Sargodha,296.63,4,2023,Food & Beverages
Pulse Mash (Washed),Sargodha,444.12,4,2023,Food & Beverages
Pulse Gram,Sargodha,226.62,4,2023,Food & Beverages
Potatoes,Sargodha,66.27,4,2023,Food & Beverages
Onions,Sargodha,78.83,4,2023,Food & Beverages
Tomatoes,Sargodha,57.97,4,2023,Food & Beverages
Sugar Refined,Sargodha,118.98,4,2023,Food & Beverages
Gur (Average Quality),Sargodha,149.89,4,2023,Food & Beverages
Salt Powdered (NATIONAL/SHAN) 80,Sargodha,60.0,4,2023,Food & Beverages
Chilies Powder NATIONAL 200 gm Pa,Sargodha,215.0,4,2023,Food & Beverages
Garlic (Lehsun),Sargodha,355.77,4,2023,Food & Beverages
Tea Lipton Yellow Label 190 gm Pack,Sargodha,558.82,4,2023,Food & Beverages
Cooked Beef at Average Hotel,Sargodha,243.29,4,2023,Food & Beverages
Cooked Daal at Average Hotel,Sargodha,120.0,4,2023,Food & Beverages
Tea Prepared Ordinary,Sargodha,50.0,4,2023,Food & Beverages
Cigarettes Capstan 20'S Packet,Sargodha,220.0,4,2023,Miscellaneous
"Long Cloth 57"" Gul Ahmed/Al Karam",Sargodha,600.0,4,2023,Apparel & Footwear
Shirting (Average Quality),Sargodha,418.69,4,2023,Apparel & Footwear
Lawn Printed Gul Ahmed/Al Karam,Sargodha,646.66,4,2023,Apparel & Footwear
Georgette (Average Quality),Sargodha,343.22,4,2023,Apparel & Footwear
Gents Sandal Bata,Sargodha,1499.0,4,2023,Apparel & Footwear
Gents Sponge Chappal Bata,Sargodha,379.0,4,2023,Apparel & Footwear
Ladies Sandal Bata,Sargodha,699.0,4,2023,Apparel & Footwear
Electricity Charges upto 50 Units,Sargodha,6.23,4,2023,Housing Water & Energy
Gas Charges upto 3.3719 MMBTU,Sargodha,295.0,4,2023,Housing Water & Energy
Firewood Whole,Sargodha,800.0,4,2023,Housing Water & Energy
Energy Saver Philips 14 Watt,Sargodha,343.3,4,2023,Household Equipment
Sufi Washing Soap 250 gm Cake,Sargodha,127.42,4,2023,Personal Care
Match Box,Sargodha,5.0,4,2023,Household Equipment
Petrol Super,Sargodha,277.98,4,2023,Transport & Communication
Hi-Speed Diesel,Sargodha,294.02,4,2023,Transport & Communication
LPG 11.67 kg Cylinder,Sargodha,2974.68,4,2023,Housing Water & Energy
Telephone Call Charges,Sargodha,1.79,4,2023,Transport & Communication
Toilet Soap LIFEBUOY 115 gm,Sargodha,106.58,4,2023,Personal Care
Wheat Flour Bag,Multan,2605.87,4,2023,Food & Beverages
Rice Basmati Broken (Average Qualit,Multan,178.8,4,2023,Food & Beverages
Rice IRRI-6/9 (Sindh/Punjab),Multan,147.72,4,2023,Food & Beverages
Bread plain (Small Size),Multan,100.0,4,2023,Food & Beverages
Beef with Bone (Average Quality),Multan,750.0,4,2023,Food & Beverages
Mutton (Average Quality),Multan,1699.75,4,2023,Food & Beverages
Chicken Farm Broiler (Live),Multan,386.07,4,2023,Food & Beverages
Milk fresh (Un-boiled),Multan,149.14,4,2023,Food & Beverages
Curd (Dahi) Loose,Multan,171.04,4,2023,Food & Beverages
Powdered Milk NIDO 390 gm Polybag,Multan,680.0,4,2023,Food & Beverages
Eggs Hen (Farm),Multan,265.19,4,2023,Food & Beverages
Mustard Oil (Average Quality),Multan,577.74,4,2023,Food & Beverages
Cooking Oil DALDA or Other Similar B,Multan,3510.0,4,2023,Food & Beverages
Vegetable Ghee DALDA/HABIB 2.5 kg,Multan,1635.0,4,2023,Food & Beverages
Vegetable Ghee DALDA/HABIB or Oth,Multan,605.0,4,2023,Food & Beverages
Bananas (Kela) Local,Multan,312.59,4,2023,Food & Beverages
Pulse Masoor (Washed),Multan,272.15,4,2023,Food & Beverages
